S.No,Movie Name,Released Year,Duration,Rank,Rating,Rating Count
1,Carry-On,2024,1h 59m,PG-13,6.5,78K
2,Superman,2025,Not clear,Not Ranked yet,Not Rated,NULL
3,Red One,2024,2h 3m,PG-13,6.4,98K
4,Pushpa: The Rule - Part 2,2024,3h 21m,Not Ranked yet,6.5,35K
5,Kraven: The Hunter,2024,2h 7m,R,5.4,15K
6,Wicked,2024,2h 40m,PG,8.0,73K
7,Sonic the Hedgehog 3,2024,1h 50m,PG,7.5,7.4K
8,Nosferatu,2024,2h 13m,R,7.9,2.3K
9,Mufasa: The Lion King,2024,1h 58m,PG,6.8,10K
10,Anora,2024,2h 19m,R,8.0,40K
11,Gladiator II,2024,2h 28m,R,6.8,122K
12,Heretic,2024,1h 51m,R,7.1,54K
13,The Lord of the Rings: The War of the Rohirrim,2024,2h 14m,PG-13,6.6,11K
14,Love Actually,2003,2h 15m,R,7.6,548K
15,28 Years Later,2025,Not clear,Not Ranked yet,Not Rated,NULL
16,Subservience,2024,1h 46m,R,5.4,17K
17,The Substance,2024,2h 21m,R,7.4,175K
18,Home Alone,1990,1h 43m,PG,7.7,680K
19,Conclave,2024,2h,PG,7.4,43K
20,Karate Kid: Legends,2025,Not clear,Not Ranked yet,Not Rated,NULL
21,National Lampoon's Christmas Vacation,1989,1h 37m,PG-13,7.5,231K
22,Moana 2,2024,1h 40m,PG,7.0,47K
23,Juror #2,2024,1h 54m,PG-13,7.0,35K
24,Joker: Folie à Deux,2024,2h 18m,R,5.2,134K
25,How the Grinch Stole Christmas,2000,1h 44m,PG,6.3,305K
